category,name,address,city,state,zip,confidence
supermarket,North Star Market,175 3rd Ave,Kotzebue,AK,99752,0.95
supermarket,Stuaqpak,4725 Ahkovak St,Utqiagvik,AK,99723,0.96
grocery_store,The Jam Lady,5055 M-26,Mohawk,MI,49950,0.96
grocery_store,Mohawk Superette,158 Stanton Ave,Mohawk,MI,49950,0.96
grocery_store,Pat's Foods,801 Market St,Hancock,MI,49930,0.95
supermarket,Tadych's MarketPlace Foods,1000 W Sharon Ave,Houghton,MI,49931,0.95
grocery_store,Richies Supermarket,48655 Main St,Dollar Bay,MI,49922,0.95
grocery_store,Au Train Grocery & Motel,N7590 Arbutus St,Au Train,MI,49806,0.96
supermarket,Meijer,1138 W 3 Mile Rd,Sault Ste Marie,MI,49783,0.99
grocery_store,Rudyard Co-Op Store,11312 W Main St,Rudyard,MI,49780,0.95
grocery_store,Love Meats Inc,11403 W Main St,Rudyard,MI,49780,0.95
grocery_store,Kinross Co-Op Store,16829 S Water Tower Dr,Kinross Twp,MI,49788,0.96
grocery_store,Mac's Market,2013 Newberry Ave,Newberry,MI,49868,0.95
grocery_store,Doud's Market,7200 Main St,Mackinac Island,MI,49757,0.95
grocery_store,Louie's Fresh Market Cheboygan,604 S Main St,Cheboygan,MI,49721,0.96
grocery_store,Save A Lot,10203 N Straits Hwy,Cheboygan,MI,49721,0.98
grocery_store,Pumpkin Barn,1880 W Sturgeon Bay Trl,Bliss Twp,MI,49755,0.96
grocery_store,Open Sky Farm,5200 Zmikly Rd,Center Twp,MI,49769,0.95
supermarket,Lil Jamaica Grocery and Gift Shop,172 S Huron Ave,Mackinaw City,MI,49701,0.99
grocery_store,Bluff Gardens,721 W Lake St,Harbor Springs,MI,49740,0.96
grocery_store,Harbor Springs Market,300 W Lake St,Harbor Springs,MI,49740,0.96
grocery_store,Salvatore's Grocery & Kitchen,4189 Main St,Petoskey,MI,49770,0.95
specialty_grocery_store,Spice & Tea Merchants,204 Howard St,Petoskey,MI,49770,0.99
supermarket,Gordon Food Service Store,1010 Spring St,Petoskey,MI,49770,0.99
