category,name,address,city,state,zip,confidence
library,Chukchi Consortium Library,604 3rd Ave,Kotzebue,AK,99752,0.96
library,Tuzzy Consortium Library,5448 North Star St,Utqiagvik,AK,99723,0.95
library,Calumet Public Library,57070 Mine St,Calumet,MI,49913,0.96
library,Hancock School Public Library,501 Campus Dr,Hancock,MI,49930,0.96
library,J. Robert Van Pelt and John and Ruanne Opie Library,1400 Townsend Dr,Houghton,MI,49931,0.95
library,Munising School Public Library,810 M-28,Munising,MI,49862,0.96
library,Whitefish Township Community Library,7247 N M 123,Paradise,MI,49768,0.95
library,Tahquamenon Area Library,700 Newberry Ave,Newberry,MI,49868,0.95
library,Curtis Public Library,9220 Portage Ave,Portage Twp,MI,49820,0.96
library,Beaver Island District Library,26400 Donegal Bay Rd,Beaver Island,MI,49782,0.96
library,St. Ignace Public Library,110 W Spruce St,St Ignace,MI,49781,0.95
library,Mackinac Island Public Library,7549 Main St,Mackinac Island,MI,49757,0.96
library,Cheboygan Area Public Library,100 S Bailey St,Cheboygan,MI,49721,0.95
library,Mackinaw Area Public Library,528 W Central Ave,Mackinaw City,MI,49701,0.95
library,Harbor Springs Library,206 S Spring St,Harbor Springs,MI,49740,0.96
library,Petoskey District Library,500 E Mitchell St,Petoskey,MI,49770,0.95
library,Topinabee Public Library,1576 N Straits Hwy,Mullett Twp,MI,49721,0.95
library,Indian River Area Library,3546 S Straits Hwy,Indian River,MI,49749,0.96
library,Wolverine Community Library,5716 Main St,Wolverine,MI,49799,0.96
library,Crooked Tree District Library,2203 Walloon St,Melrose Twp,MI,49796,0.95
library,Boyne District Library,201 E Main St,Boyne City,MI,49712,0.92
library,Charlevoix Public Library,220 Clinton St,Charlevoix,MI,49720,0.95
library,Jordan Valley District Library,1 Library Ln,East Jordan,MI,49727,0.95
library,Leelanau Township Library,119 E Nagonaba St,Northport,MI,49670,0.96
library,Manistique School-Public Library,100 N Cedar St,Manistique,MI,49854,0.95
library,Menominee County Library,319 Railroad St,,,49887,0.96
library,Spies Public Library,940 1st St,Menominee,MI,49858,0.95
library,Crivitz Area Library,606 Louisa St,Crivitz,WI,54114,0.95
library,Lakes Country Public Library,15235 WI-32,Lakewood,WI,54138,0.96
library,Wausaukee Public Library,704 Main St,Wausaukee,WI,54177,0.95
library,Dickinson County Library,401 Iron Mountain St,Iron Mountain,MI,49801,0.95
library,Niagara Public Library,1029 Roosevelt Rd,Niagara,WI,54151,0.96
library,"Dickinson County Library, Solomonson Branch",620 Section St,Norway,MI,49870,0.96
library,Florence County Library,400 Olive Ave,Florence,WI,54121,0.96
library,Hermansville Branch Library,W5480 1st St,Meyer Twp,MI,49847,0.96
library,Forsyth Twp Public Library,180 W Flint St,Forsyth Twp,MI,49841,0.95
library,Ishpeming Carnegie Public Library,317 N Main St,Ishpeming,MI,49849,0.96
library,Negaunee Public Library,319 W Case St,Negaunee,MI,49866,0.99
library,Richmond Township Library,304 Snyder St,,,49871,0.96
library,Peter White Public Library,217 N Front St,Marquette,MI,49855,0.95
library,Lanse Public Library,201 N 4th St,L'Anse,MI,49946,0.96
library,Crystal Falls Library,237 Superior Ave,Crystal Falls,MI,49920,0.96
library,Mc Millan Township Library,200 S Cedar St,McMillan Twp,MI,49925,0.96
library,Ontonagon Township Library,311 N Steel St,Ontonagon,MI,49953,0.95
library,Wakefield Public Library,401 Hancock St,Wakefield,MI,49968,0.96
library,Boulder Junction Public Library,5392 Park St,Boulder Junction,WI,54512,0.98
library,Winchester Public Library,2117 Lake St,Presque Isle,WI,54557,0.96
library,Frank B Koller Memorial Library,5761 US-51,Mercer,WI,54547,0.96
library,Presque Isle Community Library,8306 School Loop Rd,Presque Isle,WI,54557,0.95
library,Lac Du Flambeau Public Library,622 Peace Pipe Rd,Lac du Flambeau,WI,54538,0.95
library,Minocqua Public Library,415 Menominee St,Minocqua,WI,54548,0.95
library,Rhinelander District Library,106 N Stevens St,Rhinelander,WI,54501,0.96
library,Plum Lake Library,8789 Peterson St,Sayner,WI,54560,0.95
library,E Ellis Phelps Library,4495 Town Hall Rd,Phelps,WI,54554,0.96
library,Demmer Memorial Library,6961 W School St,Three Lakes,WI,54562,0.96
library,Crandon Public Library,110 W Polk St,Crandon,WI,54520,0.96
library,Edith Evans Community Library,5216 Forest Ave,Laona,WI,54541,0.99
library,Town of Wabeno Public Library,4556 N Branch St,Wabeno,WI,54566,0.95
library,Antigo Public Library,617 Clermont St,Antigo,WI,54409,0.95
library,Tomahawk Public Library,300 W Lincoln Ave,Tomahawk,WI,54487,0.95
library,T.B. Scott Free Library,106 W 1st St,Merrill,WI,54452,0.98
library,Marathon County Public Library (MCPL),224 S 3rd Ave,Edgar,WI,54426,0.99
library,Marathon County Public Library (MCPL),515 Washington St,Marathon City,WI,54448,0.99
library,Marathon County Public Library (MCPL),300 N 1st St,Wausau,WI,54403,0.99
library,Wisconsin Valley Library Service,300 N 1st St,Wausau,WI,54403,0.99
library,Marathon County Public Library (MCPL),211 Grand Ave,Rothschild,WI,54474,0.99
library,Marathon County Public Library (MCPL),435 Curtis Ave,Hatley,WI,54440,0.99
library,Rosholt Library,137 N Main St,Rosholt,WI,54473,0.96
library,Marathon County Public Library (MCPL),123 Main St,Mosinee,WI,54455,0.99
library,Lester Public Library of Vesper,6550 Virginia St,Vesper,WI,54489,0.96
library,McMillan Memorial Library,490 E Grand Ave,Wisconsin Rapids,WI,54494,0.91
library,Charles & JoAnn Lester Library - Nekoosa Library,100 Park St,Nekoosa,WI,54457,0.96
library,Lester Public Library of Rome,1157 Rome Center Dr,Nekoosa,WI,54457,0.96
library,Plainfield Public Library,126 S Main St,Plainfield,WI,54966,0.91
library,Hancock Public Library,114 S Main St,Hancock,WI,54943,0.96
library,UWSP Library,1801 4th Ave,Stevens Point,WI,54481,0.95
library,Portage County Public Library,1001 Main St,Stevens Point,WI,54481,0.93
library,Plover Library,2151 Roosevelt Dr,Plover,WI,54467,0.96
library,Iola Village Library,180 S Main St,Iola,WI,54945,0.96
library,Lettie W. Jensen Library,278 N Main St,Amherst,WI,54406,0.96
library,Scandinavia Public Library,349 N Main St,Scandinavia,WI,54977,0.96
library,Waupaca Area Public Library,107 S Main St,Waupaca,WI,54981,0.96
library,Patterson Memorial Library,500 Division St,Wild Rose,WI,54984,0.96
library,Poy Sippi Public Library,W2251 Commercial St,Poy Sippi,WI,54967,0.95
library,Neuschafer Community Library,317 Wolf River Dr,Fremont,WI,54940,0.95
library,Winneconne Public Library,31 S 2nd St,Winneconne,WI,54986,0.96
library,Sturm Memorial Library,130 N Bridge St,Manawa,WI,54949,0.95
library,New London Library,406 S Pearl St,New London,WI,54961,0.95
library,Hortonville Public Library,531 N Nash St,Hortonville,WI,54944,0.96
library,Marion Public Library,120 N Main St,Marion,WI,54950,0.96
library,Shawano County Library,128 S Sawyer St,Shawano,WI,54166,0.95
library,Wittenberg Village Library,302 S Cherry St,Wittenberg,WI,54499,0.95
library,College of Menominee Nation Library,n 172 WI-55,,,54135,0.96
library,Bonduel Library,125 N Washington St,Bonduel,WI,54107,0.95
library,Brown County Library,222 W Pulaski St,Pulaski,WI,54162,0.96
library,Oconto Falls Community Library,251 N Main St,Oconto Falls,WI,54154,0.99
library,Coleman Area Library,123 W Main St,Coleman,WI,54112,0.95
library,Lena Public Library,200 E Main St,Lena,WI,54139,0.95
library,Farnsworth Public Library,715 Main St,Oconto,WI,54153,0.95
library,Door County Library,107 S 4th Ave,Sturgeon Bay,WI,54235,0.99
library,Algoma Public Library,406 Fremont St,Algoma,WI,54201,0.96
library,Brown County Library,450 N Wall St,Denmark,WI,54208,0.95
library,Kewaunee Public Library,822 Juneau St,Kewaunee,WI,54216,0.95
library,Manitowoc Public Library,707 Quay St,Manitowoc,WI,54220,0.99
library,Lester Public Library,1001 Adams St,Two Rivers,WI,54241,0.95
library,Brown County Library - Wrightstown Branch,615 Main St,Wrightstown,WI,54180,0.95
library,Brillion Public Library,326 N Main St,Brillion,WI,54110,0.95
library,Oneida Community Library,201 Elm St,Oneida,WI,54155,0.96
library,Brown County Library,1060 Orlando Dr,Green Bay,WI,54304,0.95
library,Brown County Library - Southwest Branch,974 9th St,Green Bay,WI,54304,0.95
library,Vida Nueva Libreria Cristiana,1727 University Ave,Green Bay,WI,54302,0.91
library,Nicolet Federated Library System,1595 Allouez Ave,Green Bay,WI,54311,0.96
library,Brown County Library - East Branch,2255 Main St,Green Bay,WI,54302,0.95
library,Brown County Library - Kress Family Branch,333 N Broadway,De Pere,WI,54115,0.96
library,Black Creek Library,507 S Maple St,Black Creek,WI,54106,0.96
library,Shiocton Public Library,W7740 Pine St,Shiocton,WI,54170,0.95
library,Muehl Public Library,436 N Main St,Seymour,WI,54165,0.96
library,Green Earth Branch Library,W1273 Redtail Dr,De Pere,WI,54115,0.96
library,Appleton Public Library,2411 S Kensington Dr,Appleton,WI,54915,0.91
library,Seeley G Mudd Library at Lawrence University,113 S Lawe St,Appleton,WI,54911,0.96
library,Kimberly Village Public Library,515 W Kimberly Ave,Kimberly,WI,54136,0.95
library,Little Chute Public Library,625 Grand Ave,Little Chute,WI,54140,0.96
library,Kaukauna Public Library,207 Thilmany Rd,Kaukauna,WI,54130,0.91
library,Polk Library,793 Elmwood Ave,Oshkosh,WI,54901,0.96
library,Oshkosh Public Library,106 Washington Ave,Oshkosh,WI,54901,0.96
library,Winnefox Library System,106 Washington Ave,Oshkosh,WI,54901,0.96
library,Village of North Fond Du Lac: Spillman Public Library,719 Wisconsin Ave,North Fond du Lac,WI,54937,0.96
library,Fond du Lac Public Library,32 Sheboygan St,Fond du Lac,WI,54935,0.99
library,Oakfield Public Library,130 N Main St,Oakfield,WI,53065,0.96
library,Brownsville Public Library,379 Main St,Brownsville,WI,53006,0.95
library,Lomira Village Public Library,427 S Water St,Lomira,WI,53048,0.96
library,Campbellsport Public Library,220 N Helena St,Campbellsport,WI,53010,0.96
library,Elkhart Lake Public Library,40 Pine St,Elkhart Lake,WI,53020,0.96
library,Plymouth Public Library,130 Division St,Plymouth,WI,53073,0.95
library,Chilton Public Library,221 Park St,Chilton,WI,53014,0.96
library,New Holstein Public Library,2115 Washington St,New Holstein,WI,53061,0.95
library,Kiel Public Library,511 3rd St,Kiel,WI,53042,0.96
library,Sheboygan Falls Memorial Library,330 Buffalo St,Sheboygan Falls,WI,53085,0.96
library,Kohler Public Library,240 School St,Kohler,WI,53044,0.95
library,Monarch Library System,4632 S Taylor Dr,Sheboygan,WI,53081,0.95
library,Oostburg Public Library,213 N 8th St,Oostburg,WI,53070,0.95
library,Mead Public Library,710 N 8th St,Sheboygan,WI,53081,0.92
library,Cedar Grove Public Library,131 W Van Altena Ave,Cedar Grove,WI,53013,0.96
library,Twin Tudor Little Free Library #95792,611 Main St,Belgium,WI,53004,0.96
library,W.J. Niederkorn Library,316 W Grand Ave,Port Washington,WI,53074,0.95
library,Shorewood Public Library,3920 N Murray Ave,Shorewood,WI,53211,0.95
library,Golda Meir Library,2311 E Hartford Ave,Milwaukee,WI,53211,0.95
library,UWM American Geographical Society Library,"Golda Meir Library, 2311 E Hartford Ave",Milwaukee,WI,53211,0.96
library,Germantown Community Library,N112W16957 Mequon Rd,Germantown,WI,53022,0.95
library,Pauline Haass Public Library,N64W23820 Main St,Sussex,WI,53089,0.91
library,Menomonee Falls Public Library,W156N8420 Pilgrim Rd,Menomonee Falls,WI,53051,0.96
library,Butler Public Library,12808 W Hampton Ave,Butler,WI,53007,0.96
library,Cedarburg Public Library,W63N589 Hanover Ave,Cedarburg,WI,53012,0.96
library,Frank L Weyenberg Library,11345 N Cedarburg Rd,Mequon,WI,53092,0.96
library,Milwaukee Public Library,7715 W Good Hope Rd,Milwaukee,WI,53223,0.99
library,Patrick & Beatrice Haggerty Library,2900 N Menomonee River Pkwy,Milwaukee,WI,53222,0.96
library,Milwaukee Public Library,3969 N 74th St,Milwaukee,WI,53216,0.99
library,Tail-Wagging Tales on 71st Street: Little Free Library #60981,2827 N 71st St,Milwaukee,WI,53210,0.96
library,Brown Deer Public Library,4301 W Brown Deer Rd,Brown Deer,WI,53223,0.99
library,North Shore Library,6800 N Port Washington Rd,Glendale,WI,53217,0.95
library,Cardinal Stritch University Library,6801 N Yates Rd,Milwaukee,WI,53217,0.99
library,Milwaukee Public Library,5190 N 35th St,Milwaukee,WI,53209,0.99
library,Milwaukee Public Library,1960 W Atkinson Ave,Milwaukee,WI,53209,0.99
library,Whitefish Bay Public Library,5420 N Marlborough Dr,Whitefish Bay,WI,53217,0.95
library,Milwaukee Public Library,2767 N Dr Martin Luther King Jr Dr,Milwaukee,WI,53212,0.99
library,Kewaskum Public Library,1225 Fond du Lac Ave,Kewaskum,WI,53040,0.95
library,West Bend Community Memorial Library,630 Poplar St,West Bend,WI,53095,0.95
library,Lakeview Community Library,112 Butler St,Random Lake,WI,53075,0.95
library,Oscar Grady Library,151 S Main St,Saukville,WI,53080,0.95
library,Theresa Public Library,290 Mayville St,Theresa,WI,53091,0.96
library,Iron Ridge Public Library,205 Park St,Iron Ridge,WI,53035,0.96
library,Slinger Community Library,220 Slinger Rd,Slinger,WI,53086,0.95
library,Oconomowoc Public Library,200 W South St,Oconomowoc,WI,53066,0.99
library,Hartland Public Library,110 E Park Ave,Hartland,WI,53029,0.95
library,Pewaukee Public Library,210 Main St,Pewaukee,WI,53072,0.95
library,Reeseville Public Library,216 S Main St,Reeseville,WI,53579,0.95
library,Lake Mills Library,120 E Madison St,Lake Mills,WI,53551,0.96
library,Johnson Creek Public Library,125 Lincoln St,Johnson Creek,WI,53038,0.95
library,Watertown Public Library,100 S Water St,Watertown,WI,53094,0.99
library,Dodge Jefferson Counties Genealogical Society,504 S 4th St,Watertown,WI,53094,0.96
library,Sun Prairie Public Library,1350 Linnerud Dr,Sun Prairie,WI,53590,0.96
library,Marshall Community Library,605 Waterloo Rd,Marshall,WI,53559,0.95
library,Karl Junginger Memorial Library,625 N Monroe St,Waterloo,WI,53594,0.96
library,Rio Community Library,324 W Lyons St,Rio,WI,53960,0.95
library,Hutchinson Memorial Library,228 N High St,Randolph,WI,53956,0.96
library,"Columbus, Wisconsin Public Library",223 W James St,Columbus,WI,53925,0.96
library,Fox Lake Public Library,117 W State St,Fox Lake,WI,53933,0.95
library,Beaver Dam Community Library,311 N Spring St,Beaver Dam,WI,53916,0.96
library,Juneau Public Library,250 N Fairfield Ave,Juneau,WI,53039,0.95
library,Mid Wisconsin Fed Library,112 Clinton St,Horicon,WI,53032,0.96
library,Horicon Public Library,404 E Lake St,Horicon,WI,53032,0.92
library,Hustisford Community Library,609 W Juneau St,Hustisford,WI,53034,0.96
library,Brandon Public Library,117 E Main St,Brandon,WI,53919,0.96
library,Waupun Public Library,123 S Forest St,Waupun,WI,53963,0.95
library,"Carter Memorial Library - Omro, WI",405 E Huron St,Omro,WI,54963,0.95
library,Neshkoro Public Library,132 S Main St,Neshkoro,WI,54960,0.95
library,Princeton Public Library,424 W Water St,Princeton,WI,54968,0.96
library,Redgranite Public Library,135 W Bannerman Ave,Redgranite,WI,54970,0.96
library,Berlin Public Library,121 W Park Ave,Berlin,WI,54923,0.96
library,Caestecker Public Library,518 Hill St,Green Lake,WI,54941,0.96
library,Kingston Mill Pond Public Library,140 N South St,Kingston,WI,53939,0.96
library,Markesan Public Library,75 N Bridge St,Markesan,WI,53946,0.95
library,Packwaukee Public Library,3511 State St,Packwaukee,WI,53953,0.99
library,Endeavor Public Library,400 S Church St,Endeavor,WI,53930,0.95
library,Montello Public Library,128 Lake Ave,Montello,WI,53949,0.95
library,Coloma Public Library,155 N Front St,Coloma,WI,54930,0.96
library,Ethel Everhard Library,117 E 3rd St,Westfield,WI,53964,0.95
library,Adams County Library,569 N Cedar St,Adams,WI,53910,0.95
library,North Freedom Public Library,103 N Maple St,North Freedom,WI,53951,0.95
library,Carnegie-Schadde Memorial Public Library,230 4th Ave,Baraboo,WI,53913,0.96
library,Portage Public Library,253 W Edgewater St,Portage,WI,53901,0.96
library,Pardeeville Library,119 N Main St,Pardeeville,WI,53954,0.96
library,Wyocena Public Library,165 E Dodge St,Wyocena,WI,53969,0.96
library,Poynette Public Library,118 N Main St,Poynette,WI,53955,0.95
library,Lodi Public Library,130 Lodi St,Lodi,WI,53555,0.91
library,Rosemary Garfoot Public Library,2107 Julius St,Cross Plains,WI,53528,0.96
library,Friends of the Middleton Public Library,7425 Hubbard Ave,Middleton,WI,53562,0.95
library,Ebling Library for the Health Sciences,750 Highland Ave,Madison,WI,53705,0.96
library,Steenbock Memorial Library,550 Babcock Dr,Madison,WI,53706,0.95
library,Business Learning Commons,975 University Ave,Madison,WI,53706,0.96
library,MERIT Library,225 N Mills St,Madison,WI,53706,0.96
library,Cooperative Children's Book Center,225 N Mills St,Madison,WI,53706,0.96
library,Wisconsin Historical Society,816 State St,Madison,WI,53706,0.98
library,Kohler Art Library,800 University Ave,Madison,WI,53706,0.95
library,Memorial Library,728 State St,Madison,WI,53706,0.95
library,Nieman Grant Journalism Reading Room,821 University Ave,Madison,WI,53706,0.96
library,Norwegian American Genealogical Center and Naeseth Library,415 W Main St,Madison,WI,53703,0.96
library,Madison Public Library - Lakeview,2845 N Sherman Ave,Madison,WI,53704,0.95
library,Madison Public Library - Hawthorne,2707 E Washington Ave,Madison,WI,53704,0.96
library,Legislative Fiscal Bureau,1 E Main St,Madison,WI,53703,0.96
library,Madison Public Library - Pinney,516 Cottage Grove Rd,Madison,WI,53716,0.95
library,Dane County Library Service,1874 S Stoughton Rd,Blooming Grove,WI,53716,0.96
library,Ruth Culver Community Library,540 Water St,Prairie du Sac,WI,53578,0.96
library,George Culver Community Library,615 Phillips Blvd,Sauk City,WI,53583,0.96
library,Mazomanie Free Library,102 Brodhead St,Mazomanie,WI,53560,0.93
library,Barneveld Public Library,107 W Orbison St,Barneveld,WI,53507,0.95
library,Hollandale Lending Library,400 Main St,Hollandale,WI,53544,0.96
library,Mount Horeb Public Library,105 Perimeter Rd,Mt Horeb,WI,53572,0.96
library,Blanchardville Public Library,208 Mason St,Blanchardville,WI,53516,0.95
library,Argyle Village Library,401 E Milwaukee St,Argyle,WI,53504,0.95
library,Monticello Public Library,512 E Lake Ave,Monticello,WI,53570,0.96
library,Monroe Public Library,925 16th Ave,Monroe,WI,53566,0.96
library,Literacy Council of Green Co,925 16th Ave,Monroe,WI,53566,0.95
library,Albertson Memorial Library,200 N Water St,Albany,WI,53502,0.96
library,Eager Free Public Library,39 W Main St,Evansville,WI,53536,0.95
library,Brodhead Memorial Public Library,1207 25th St,Brodhead,WI,53520,0.96
library,Verona Public Library,500 Silent St,Verona,WI,53593,0.96
library,New Glarus Public Library,319 2nd St,New Glarus,WI,53574,0.95
library,Belleville Public Library,20 S Park St,Belleville,WI,53508,0.95
library,Madison Public Library - Sequoya,4340 Tokay Blvd,Madison,WI,53711,0.96
library,Oscar Rennebohm Library,959 Edgewood College Dr,Madison,WI,53711,0.96
library,Madison Public Library - Monroe Street,1705 Monroe St,Madison,WI,53711,0.96
library,Wisconsin's Digital Library,1360 Regent St,Madison,WI,53715,0.93
library,Madison Public Library - Goodman South Madison,2222 S Park St,Madison,WI,53713,0.96
