category,name,address,city,state,zip,confidence
park,Partridge Falls,,,,,0.96
park,Susie Islands Overlook,MN-61,,,55605,0.95
campground,Sunset Bay RV Resort & Campground,2701 Sunset Bay Bch Rd TWP,,,49805,0.95
campground,Ahmeek Coppermine Camp,3295 US-41,,,49950,0.95
park,Swedetown Recreation Area,,,,49913,0.95
park,Hungarian Falls Nature Area,Hungarian Falls Trail,,,49913,0.95
park,Chutes and Ladders,1100 W Lakeshore Dr,Houghton,MI,49931,0.95
park,The Tree House Indoor Playground,850 W Sharon Ave,Houghton,MI,49931,0.96
park,Parking lot,E Lakeshore Dr,,,49931,0.96
campground,Lake Linden Campground,1050 Hiltunen St,,,49945,0.95
park,Lake Linden Park,,,,49945,0.96
campground,Lake Fanny Hooe Resort and Campground,505 2nd St,Copper Harbor,MI,49918,0.95
park,Raspberry Island,,,,49950,0.95
campground,Au Train Beach Campground,E4947 State Road M28,Au Train,MI,49806,0.95
campground,Superior Times Resort and Campground,N6750 Autrain Forest Lake Rd,Au Train,MI,49806,0.95
park,Forest Lake Campground and Picnic Area,,,,49816,0.95
campground,Otter Lake Campground,E7609 Buckhorn Rd,,,49862,0.96
campground,Widewaters Campground,,,,49862,0.96
campground,Pete's Lake Campground,FR-2173,,,49895,0.95
campground,Bay Furnace Campground,7900 M-28,Munising,MI,49862,0.95
campground,Paddler's Village,N7796 Scrooges Aly,Munising,MI,49862,0.95
campground,Silent Nights Campsites,N7734 St Nicholas St,Munising,MI,49862,0.95
park,Sand Point Marsh,Sand Point Marsh Trail,,,49862,0.95
campground,Munising / Pictured Rocks KOA Journey,E10102 State Highway M28,Munising Twp,MI,49895,0.99
park,Mosquito Falls,,,,,0.96
campground,Little Beaver Lake Campground Trailhead,,,,49884,0.95
campground,Catchin' Crickets Campground & Vacation Rental,N6874 County Road H15,Shingleton,MI,49884,0.96
campground,Ross Lake State Campground,Crooked Lake Rd,,,49884,0.95
campground,Colwell Lake Campground,,,,49854,0.96
campground,Little Bass Lake Campground,,,,49854,0.96
campground,Jack Pine Lodge,5350N M-94,,,49854,0.99
campground,Big Cedar Campground Kayak & Canoe Livery,7936 State Highway M77,Germfask,MI,49836,0.96
campground,Log Cabin Resort & Campground,County Road H 42,,,49820,0.96
campground,Seney Township Campground,Co Hwy 450,,,49883,0.96
campground,High Swamp Camp,Ames Lake Rd ORV Trail-88,,,49883,0.96
park,Log Slide Parking Area,,,,49883,0.95
campground,Woodland Park Campground,21666 Brazel St,Grand Marais,MI,49839,0.95
campground,Twelvemile Beach Campground,,,,49839,0.96
campground,Holland Lake State Forest Campground,,,,49868,0.96
park,Whitefish Bay Picnic Area,,,,49728,0.96
campground,Three Lakes Campground,US Frst Service Rd 3545,,,49728,0.96
campground,Bay View Campground,W Lakeshore Dr,,,49715,0.96
campground,Soldier Lake Campground,Fs 3138,,,49781,0.96
campground,Monocle Lake Campground,,,,49715,0.96
campground,Clear Lake Campground,13301 S Mackinac Trl,Dafter,MI,49724,0.96
park,Kinross Twp Parks & Recreation,43 Wood Lake Rd,Kinross Twp,MI,49788,0.96
campground,Hog Island State Forest Campground,N7590 Hiawatha Trail,,,49762,0.95
campground,Natalie State Forest Campground,,,,49868,0.95
campground,Kritters Campground,13209 M-123,McMillan Twp,MI,49868,0.96
campground,Big Lake Campground,1255 County Road 135,McMillan,MI,49853,0.95
campground,Newberry Campground,13724 State Highway M28,Newberry,MI,49868,0.96
campground,Big Knob State Forest Campground,,,,49838,0.95
campground,Beaver Island Retreat,34195 Kings Hwy,Beaver Island,MI,49782,0.96
campground,Bill Wagner Campground,31790 East Side Dr,Beaver Island,MI,49782,0.95
park,Brevort Township Community Library,1941 Church Rd,,,49760,0.95
campground,Castle Rock Lakefront Campark,2811 Mackinac Trl,St Ignace,MI,49781,0.96
campground,Lakeshore RV Campground,W1234 Pointe Labarbe Rd,,,49781,0.96
campground,St Ignace KOA,1118 US Highway 2 W,St Ignace,MI,49781,0.99
park,Father Marquette National Memorial,"Father Marquette National Memorial, 720 Church St",St Ignace,MI,49781,0.95
campground,Carp River Campground,Usfs 3445,,,49781,0.95
campground,Reddmann's Sleepy Hollow,806 E St Charles Rd,Ithaca,MI,48847,0.95
park,Huron Boardwalk,99 N State St,St Ignace,MI,49781,0.96
hiking_trail,Lost Lake Nature Trail,Unknown road,,,49757,0.95
hiking_trail,Pontiac Trail Head,"Lake View Hotel, 7452 Main St",Mackinac Island,MI,49757,0.96
campground,Tee Pee Campground,11262 US-23,Mackinaw City,MI,49701,0.96
campground,Mackinaw Mill Creek Camping,9730 US Hwy 23,Mackinaw City,MI,49701,0.96
campground,Roberts Landing Campground,5992 W US 23,Beaugrand Twp,MI,49721,0.95
campground,Waterways Campground,9575 M-33,Cheboygan,MI,49721,0.96
campground,Mackinaw City / Mackinac Island KOA Journey,566 Trails End Rd,Mackinaw City,MI,49701,0.99
campground,Mackinaw Campground,13496 N Mackinaw Hwy,Mackinaw City,MI,49701,0.99
park,Thorne Swift Nature Preserve,6696 Lower Shore Dr,Harbor Springs,MI,49740,0.99
park,Petoskey Parks and Recreation,101 E Lake St,Petoskey,MI,49770,0.96
playground,Fred Friedli Playground,Bayfront Dr,,,49770,0.96
park,Bear River Valley Recreation Area,302 Ione St,Petoskey,MI,49770,0.95
park,Waterfall Area,800 Bay View Rd,,,49770,0.96
park,The Spiral Stairs (Sunset/Bayfront Parks),,,,49770,0.96
park,River Road Sports Complex,2267 River Rd,Petoskey,MI,49770,0.95
park,Oden State Fish Hatchery,8258 S Ayr Rd,Alanson,MI,49706,0.96
campground,El Rancho Alanson RV Resort,6732 M-68,Alanson,MI,49706,0.96
campground,Camp Petosega,11000 Camp Petosega Rd,Alanson,MI,49706,0.96
campground,Pigeon Bay Campground,1337 E Mullett Lake Rd,Koehler Twp,MI,49749,0.96
park,Tuscarora Township Parks Comm,5454 S Straits Hwy,Indian River,MI,49749,0.95
campground,Camp Walden,5607 S River Rd,Aloha Twp,MI,49721,0.95
campground,Michigan Oaks Camping Resort,2201 M 68 Hwy,Indian River,MI,49749,0.96
campground,Twin Bears Wooded Campground,2201 M-68,,,49749,0.95
campground,Elkwood Campground,2733 Lance Lake Rd,Nunda Twp,MI,49799,0.95
campground,Camp Daggett,3001 Church Rd,Petoskey,MI,49770,0.96
park,Avalanche Preserve Recreation Area,1129 Wilson St,Boyne City,MI,49712,0.95
park,Adventure Center,1 Boyne Mountain Rd,,,49713,0.96
campground,Chandler Hill Campground,2930 Magee Rd N,Chandler Twp,MI,49713,0.95
campground,Higher Ground at Lake Louise,10750 Stafford Rd,Boyne Falls,MI,49713,0.96
campground,"Camp 437, Private Camp",2805 McGregor Rd,,,49795,0.95
campground,Church of God Family Camp,13603 Veenstra Rd,Marion Twp,MI,49720,0.96
park,Sleeping Bear Dunes National Lakeshore,,,,49664,0.96
